20,20,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,17,17,17,17,1,4,4,4,4,4,4,4,4,1,0,0,0,0,1,
1,17,17,17,17,1,4,4,4,4,4,4,4,4,1,0,0,11,0,1,
1,17,17,17,17,1,4,4,4,4,4,4,4,4,1,11,0,0,0,1,
1,17,17,17,17,1,1,1,1,4,4,1,1,1,1,0,0,0,0,1,
1,17,17,17,17,1,4,4,4,4,4,4,4,4,0,0,0,0,0,1,
1,17,17,17,17,1,4,5,5,5,5,5,5,4,0,0,11,0,0,1,
1,17,17,17,17,1,4,5,5,5,5,5,5,4,1,0,0,0,0,1,
1,17,17,17,17,1,4,5,5,5,5,5,5,4,1,0,0,0,0,1,
1,17,17,17,17,0,4,5,5,5,5,5,5,4,0,12,0,0,0,1,
1,17,17,17,17,0,4,5,5,5,5,5,5,4,0,12,0,0,0,1,
1,17,17,17,17,1,4,5,5,5,5,5,5,4,1,0,0,0,0,1,
1,17,17,17,17,1,4,5,5,5,5,5,5,4,1,0,0,0,0,1,
1,17,17,17,17,1,4,5,5,5,5,5,5,4,0,0,11,0,0,1,
1,17,17,17,17,1,4,4,4,4,4,4,4,4,0,0,0,0,0,1,
1,17,17,17,17,1,1,1,1,4,4,1,1,1,1,0,0,0,0,1,
1,17,17,17,17,1,4,4,4,4,4,4,4,4,1,11,0,0,0,1,
1,17,17,17,17,1,4,4,4,4,4,4,4,4,1,0,0,11,0,1,
1,17,17,17,17,1,4,4,4,4,4,4,4,4,1,0,0,0,0,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
